Name:,Lucie Farrell
Email:,lqf5273@psu.edu
Direct Fetched:,F
Hand Fetched:,T
Comment:,Collecting data from Table C1 of Yong-Jie Hu's paper on Screening of generalized stacking fault energies, surface energies and
intrinsic ductile potency of refractory multicomponent alloys (DOI: 10.1016/j.actamat.2021.116800).

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
None,Nb Ta Mo W,BCC,None,None,compressive ductility,EXP,None,298,2.1,None,%,None,10.1016/j.intermet.2011.01.004
None,V Nb Ta Mo W,BCC,None,None,compressive ductility,EXP,None,298,1.7,None,%,None,10.1016/j.intermet.2011.01.004
None,V Nb Ta Mo W,BCC,None,None,compressive ductility,EXP,None,298,8.8,None,%,None,10.1016/j.msea.2017.12.021
None,Ti Zr Hf Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,10.12,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr Hf Nb0.5 Mo,BCC,None,None,compressive ductility,EXP,None,298,13.02,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr Hf Nb1.5 Mo,BCC,None,None,compressive ductility,EXP,None,298,23.97,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti0.5  Zr Hf Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,12.08,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti1.5 Zr Hf Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,28.98,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr0.5 Hf Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,18.02,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr1.5 Hf Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,16.09,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr Hf0.5 Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,12.09,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr Hf1.5 Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,16.83,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr Hf0.5 Nb Mo0.5,BCC,None,None,compressive ductility,EXP,None,298,24.61,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr Hf Nb Mo1.5,BCC,None,None,compressive ductility,EXP,None,298,10.83,None,%,None,10.1016/j.intermet.2015.10.011
None,Ti Zr Hf Nb Ta,BCC,None,None,compressive ductility,EXP,at least,298,50.0,None,%,None,10.1016/j.jallcom.2011.02.171
None,Ti Zr Hf Nb Ta,BCC,None,None,compressive ductility,EXP,at least,298,50.0,None,%,None,10.1016/j.matlet.2016.03.133
None,Ti Zr Hf Nb Ta Mo0.25,BCC,None,None,compressive ductility,EXP,at least,298,50.0,None,%,None,10.1016/j.matlet.2016.03.133
None,Ti Zr Hf Nb Ta Mo0.5,BCC,None,None,compressive ductility,EXP,at least,298,50.0,None,%,None,10.1016/j.matlet.2016.03.133
None,Ti Zr Hf Nb Ta Mo0.75,BCC,None,None,compressive ductility,EXP,at least,298,50.0,None,%,None,10.1016/j.matlet.2016.03.133
None,Ti Zr Hf Nb Ta Mo,BCC,None,None,compressive ductility,EXP,None,298,12.0,None,%,None,10.1016/j.matlet.2016.03.133
None,Ti Zr Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,33.0,None,%,None,10.1007/s11837-012-0366-5
None,Ti Zr V0.25 Nb Mo,BCC,None,None,compressive ductility,EXP,None,298,30.0,None,%,None,10.1007/s11837-012-0366-5
