Composition, Result
NbTaMoW,Success!
VNbTaMoW,Success!
VNbTaMoW,Success!
TiZrHfNbMo,Success!
TiZrHfNb0.5Mo,Success!
TiZrHfNb1.5Mo,Success!
Ti0.5ZrHfNbMo,Success!
Ti1.5ZrHfNbMo,Success!
TiZr0.5HfNbMo,Success!
TiZr1.5HfNbMo,Success!
TiZrHf0.5NbMo,Success!
TiZrHf1.5NbMo,Success!
TiZrHf0.5NbMo0.5,Success!
TiZrHfNbMo1.5,Success!
TiZrHfNbTa,Success!
TiZrHfNbTa,Success!
TiZrHfNbTaMo0.25,Success!
TiZrHfNbTaMo0.5,Success!
TiZrHfNbTaMo0.75,Success!
TiZrHfNbTaMo,Success!
TiZrNbMo,Success!
TiZrV0.25NbMo,Success!
TiZrV0.5NbMo,Success!
TiZrV0.75NbMo,Success!
TiZrVNbMo,Success!
TiZrV1.5NbMo,Success!
TiZrV2NbMo,Success!
TiZrV3NbMo,Success!
TiVNbTa,Success!
TiVNbTaW,Success!
NbTaVW,Success!
TiZrVNb,Success!
TiZrV2Nb,Success!
TiVNbMo,Success!
TiZrHfVNb,Success!
TiZrHfNbMo,Success!
TiVNbTaMoW,Success!
TiNbTaMoW,Success!
NbTaMoW,Success!
VNbTaMoW,Success!
TiZrVNb,Success!
TiZrV0.3Nb,Success!
TiZrVNbMo0.3,Success!
TiZrVNbMo0.5,Success!
TiZrVNbMo0.7,Success!
TiZrVNbMo,Success!
TiZrVNbMo1.3,Success!
TiZrV0.3NbMo0.1,Success!
TiZrV0.3NbMo0.3,Success!
TiZrV0.3NbMo0.5,Success!
TiZrV0.3NbMo0.7,Success!
TiZrV0.3NbMo1.0,Success!
TiZrV0.3NbMo1.3,Success!
TiZrV0.3NbMo1.5,Success!
TiZrHf0.5NbMo0.5,Success!
ZrHfNbTa,Success!
NbTaMoW,Success!
Ti0.25NbTaMoW,Success!
Ti0.5NbTaMoW,Success!
Ti0.75NbTaMoW,Success!
TiNbTaMoW,Success!
TiVNbTaMo,Success!
Ti38Hf24V15Nb23,Success!
TiZrHfNbTa,Success!
TiZrHfNb,Success!
Ti1.5ZrHf0.5Nb0.5Ta0.5,Success!
