Name:,Lucie Farrell
Email:,lqf5273@psu.edu
Direct Fetched:,F
Hand Fetched:,T
Comment:,Collecting data from the Supplementary Datasheet of Wang, J., Kwon, H., Kim, H.S. et al.'s paper, A neural network model for high entropy alloy design (DOI: 10.1038/s41524-023-01010-x).

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
None,V10 Cr15 Fe40 Co10 Ni25,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.03.115
None,V10 Cr15 Mn5 Fe35 Co10 Ni25,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.03.115
None,V10 Cr15 Mn10 Fe30 Co10 Ni25,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.03.115
None,V20 Cr15 Fe20 Ni45,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.11.136
None,V20 Cr15 Fe20 Ni45,None, AC+H+A, homogenized at 1373 K + annealed at 1223 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.11.136
None,V20 Cr15 Fe20 Ni45,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.11.136
None,V20 Cr15 Fe20 Ni45,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.11.136
None,\,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1038/s41598-019-39570-y
None,V10 Cr10 Fe45 Co20 Ni15,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1038/s41598-019-39570-y
None,V10 Cr10 Fe45 Co30 Ni5,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1038/s41598-019-39570-y
None,V10 Cr10 Fe45 Co35,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1038/s41598-019-39570-y
None,V10 Cr10 Fe45 Co30 Ni5,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 20 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.138809
None,V10 Cr10 Mn2.5 Fe45 Co30 Ni2.5,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 15 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.138809
None,V10 Cr10 Mn5 Fe45 Co30,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.138809
None,V10 Cr10 Fe45 Co20 Ni15,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.151864
None,V10 Cr10 Fe45 Co30 Ni5,None, AC+H+A, homogenized at 1373 K + annealed at 1223 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2020.156090
None,V10 Cr10 Fe45 Co30 Ni5,None, AC+H+A, homogenized at 1473 K + annealed at 1123 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2020.156090
None,V10 Cr10 Fe40 Co30 Ni10,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.scriptamat.2019.06.026
None,V10 Cr10 Fe45 Co30 Ni5,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.scriptamat.2019.06.026
None,V10 Cr10 Fe50 Co30,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.scriptamat.2019.06.026
None,Mn30 Co10 Ni40 Cu20,None, AC+H+A, homogenized at 1173 K + annealed at 873 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.152111
None,Mn30 Co10 Ni40 Cu20,None, AC+H+A, homogenized at 1173 K + annealed at 973 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.152111
None,Mn30 Co10 Ni40 Cu20,None, AC+H+A, homogenized at 1173 K + annealed at 1023 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.152111
None,Mn30 Co10 Ni40 Cu20,None, AC+H+A, homogenized at 1173 K + annealed at 1073 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.152111
None,Mn30 Co10 Ni40 Cu20,None, AC+H+A, homogenized at 1173 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.152111
None,V15 Cr15 Fe14 Co30 Ni26,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V15 Cr15 Fe14 Co30 Ni26,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V15 Cr15 Fe14 Co30 Ni26,None, AC+H+A, homogenized at 1373 K + annealed at 1373 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V15 Cr15 Fe14 Co30 Ni26,None, AC+H+A, homogenized at 1373 K + annealed at 1473 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V15 Cr20 Fe8 Co24 Ni33,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V15 Cr20 Fe8 Co24 Ni33,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V15 Cr20 Fe8 Co24 Ni33,None, AC+H+A, homogenized at 1373 K + annealed at 1373 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V15 Cr20 Fe8 Co24 Ni33,None, AC+H+A, homogenized at 1373 K + annealed at 1473 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V10 Cr20 Fe15 Co30 Ni25,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V10 Cr20 Mn5 Fe15 Co20 Ni30,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V10 Cr20 Mn5 Fe20 Co10 Ni35,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V10 Cr20 Mn10 Fe15 Co5 Ni40,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,V10 Cr20 Mn5 Fe10 Co10 Ni45,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,Cr20 Mn10 Fe20 Co30 Ni20,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,None
None,Cr25 Mn5 Fe10 Co20 Ni40,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1038/s41524-017-0060-9
None,Cr25 Mn5 Fe20 Co10 Ni40,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1038/s41524-017-0060-9
None,Al9.09 Cr18.182 Mn18.182 Fe18.182 Co18.182 Ni18.182,None, AC+H+A, homogenized at 1473 K + annealed at 1273 K for 2 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.01.041
None,Cr10 Fe57.5 Co16.25 Ni16.25,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 10 min,YS,None,None,None,None,None,Pa,None,None
None,Cr10 Fe55 Co17.5 Ni17.5,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 10 min,YS,None,None,None,None,None,Pa,None,None
None,C1 Cr12.5 Fe55 Co17.5 Ni10 Mo4,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.scriptamat.2020.07.023
None,C2 Cr12.5 Fe55 Co17.5 Ni10 Mo3,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.scriptamat.2020.07.023
None,Al15 Mn28.333 Fe28.333 Cu28.334,None, AC+H+A, homogenized at 1073 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.matchar.2017.10.022
None,Cr12.5 Fe55 Co17.5 Ni10 Mo5,None, AC+H+A, homogenized at 1423 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,None
None,Cr12.5 Fe55 Co17.5 Ni10 Mo5,None, AC+H+A, homogenized at 1423 K + annealed at 1373 K for 5 min,YS,None,None,None,None,None,Pa,None,None
None,Cr12.5 Fe55 Co17.5 Ni10 Mo5,None, AC+H+A, homogenized at 1423 K + annealed at 1373 K for 10 min,YS,None,None,None,None,None,Pa,None,None
None,Cr12.5 Fe55 Co17.5 Ni10 Mo5,None, AC+H+A, homogenized at 1423 K + annealed at 1373 K for 20 min,YS,None,None,None,None,None,Pa,None,None
None,Cr20 Mn20 Fe20 Co20 Ni20,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1126/science.1254581
None,Cr25 Fe25 Co25 Ni25,None, AC+H+A, homogenized at 1473 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Mn25 Fe25 Co25 Ni25,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Cr25 Mn25 Co25 Ni25,None, AC+H+A, homogenized at 1373 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Fe33.333 Co33.333 Ni33.333,None, AC+H+A, homogenized at 1473 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Cr33.333 Co33.333 Ni33.333,None, AC+H+A, homogenized at 1473 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Mn33.333 Fe33.333 Ni33.333,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Mn33.333 Co33.333 Ni33.333,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Fe50 Ni50,None, AC+H+A, homogenized at 1473 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Co50 Ni50,None, AC+H+A, homogenized at 1473 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2014.08.026
None,Cr20 Mn20 Fe40 Ni20,None, AC+H+A, homogenized at 1473 K + annealed at 923 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2020.153981
None,Cr20 Mn20 Fe40 Ni20,None, AC+H+A, homogenized at 1473 K + annealed at 923 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2020.153981
None,Cr20 Mn20 Fe40 Ni20,None, AC+H+A, homogenized at 1473 K + annealed at 923 K for 10 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2020.153981
None,C1 Cr19.8 Mn19.8 Fe19.8 Co19.8 Ni19.8,None, AC+H, homogenized at 1273 K,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2016.09.208
None,C1 Cr19.8 Mn19.8 Fe19.8 Co19.8 Ni19.8,None, AC+H+A, homogenized at 1273 K + annealed at 973 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2016.09.208
None,C1 Cr19.8 Mn19.8 Fe19.8 Co19.8 Ni19.8,None, AC+H+A, homogenized at 1273 K + annealed at 1073 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2016.09.208
None,C1 Cr19.8 Mn19.8 Fe19.8 Co19.8 Ni19.8,None, AC+H+A, homogenized at 1273 K + annealed at 1173 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2016.09.208
None,C1 Cr19.8 Mn19.8 Fe19.8 Co19.8 Ni19.8,None, AC+H+A, homogenized at 1273 K + annealed at 1373 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2016.09.208
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H, homogenized at 1373 K,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 873 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 923 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 873 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
